"Case#","DATE OF OCCURRENCE","BLOCK","PRIMARY DESCRIPTION","SECONDARY DESCRIPTION","LOCATION DESCRIPTION","ARREST","DOMESTIC","BEAT","WARD","X COORDINATE","Y COORDINATE","LATITUDE","LONGITUDE","OBJECT TYPE"
"2","06/15/2021 09:30:00 AM","080XX S DREXEL AVE","THEFT","N","N","N","N","N","N","N","N","41.74848637","-87.60267506","U"
"JE266628","06/15/2021 09:30:00 AM","080XX S DREXEL AVE","THEFT","$500 AND UNDER","STREET","N","N","631","8","1183633","1851786","41.74848637","-87.60267506","P"
"JE266536","06/15/2021 07:50:00 AM","042XX W MADISON ST","ASSAULT","SIMPLE","SIDEWALK","N","N","1115","28","1148227","1899678","41.88066079","-87.73118641","P"
"JE266663","06/15/2021 08:40:00 AM","044XX N ARTESIAN AVE","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","","N","N","1911","47","0","0","","","P"
"JE266959","06/15/2021 01:30:00 PM","018XX N DAMEN AVE","BATTERY","SIMPLE","PARK PROPERTY","N","N","1434","32","1162738","1912139","41.91456299","-87.67755343","P"
"JE267466","06/15/2021 09:01:00 PM","007XX S KEDZIE AVE","ASSAULT","AGGRAVATED - OTHER FIREARM","SIDEWALK","Y","N","1134","24","1155154","1896404","41.87154041","-87.70583881","P"
"JE266473","06/15/2021 07:47:00 AM","062XX S MORGAN ST","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","N","N","712","16","1170714","1863474","41.780851","-87.64967422","P"
"JE267222","06/15/2021 01:55:00 AM","015XX S KENNETH AVE","OTHER OFFENSE","VIOLATION OF CIVIL NO CONTACT ORDER","APARTMENT","N","Y","1012","24","1146970","1892136","41.85998873","-87.73599476","P"
"JE266604","06/15/2021 09:20:00 AM","013XX W ANCONA ST","BATTERY","AGGRAVATED - OTHER DANGEROUS WEAPON","STREET","N","N","1215","1","1167362","1904648","41.89390893","-87.66078135","P"
"JE266568","06/15/2021 01:30:00 AM","055XX N MC VICKER AVE","THEFT","OVER $500","STREET","N","N","1622","45","1134905","1936579","41.98216736","-87.77922869","P"
"JE267023","06/15/2021 03:03:00 PM","082XX S STONY ISLAND AVE","BATTERY","SIMPLE","STREET","N","N","411","8","1188236","1850761","41.74556517","-87.58584092","P"
"JE267234","06/15/2021 04:45:00 PM","107XX S GREEN ST","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","N","Y","2233","34","1172556","1833609","41.69885706","-87.6437984","P"
"JE267494","06/15/2021 11:04:00 PM","052XX S ARTESIAN AVE","HOMICIDE","FIRST DEGREE MURDER","STREET","N","N","923","14","1160923","1869959","41.79885471","-87.68539088","P"
"JE267500","06/15/2021 10:20:00 PM","040XX W 115TH ST","CRIMINAL DAMAGE","TO VEHICLE","APARTMENT","N","N","2211","19","1151309","1828012","41.68393824","-87.72174118","P"
"JE266437","06/15/2021 03:09:00 AM","078XX S ADA ST","WEAPONS VIOLATION","UNLAWFUL USE - HANDGUN","APARTMENT","N","N","612","17","1168802","1852756","41.75148093","-87.65699296","P"
"JE266989","06/15/2021 02:20:00 PM","051XX N LINCOLN AVE","CRIMINAL TRESPASS","TO LAND","DRUG STORE","N","N","2031","40","1158555","1934254","41.97533468","-87.69231358","P"
"JE267088","06/15/2021 03:35:00 PM","030XX N CLARK ST","THEFT","RETAIL THEFT","DEPARTMENT STORE","N","N","1934","44","1170665","1920334","41.93688045","-87.64819037","P"
"JE266473","06/15/2021 07:55:00 AM","062XX S MORGAN ST","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","N","N","712","16","1170714","1863474","41.780851","-87.64967422","P"
"JE267319","06/15/2021 07:09:00 PM","045XX W ALTGELD ST","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","RESIDENCE","N","N","2521","31","1145637","1916295","41.92630909","-87.74027493","P"
"JE267295","06/15/2021 06:08:00 PM","002XX N MAYFIELD AVE","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","N","Y","1512","29","1137120","1901058","41.88465429","-87.77193779","P"
"JE267345","06/15/2021 04:30:00 PM","042XX N ELSTON AVE","THEFT","OVER $500","STREET","N","N","1723","39","1149542","1927916","41.95812305","-87.72562303","P"
"JE266996","06/15/2021 01:00:00 PM","010XX W ROOSEVELT RD","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","N","N","1232","25","1169272","1894871","41.86703884","-87.6540508","P"
"JE267206","06/15/2021 05:20:00 PM","048XX N PULASKI RD","BATTERY","SIMPLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","1712","39","1148853","1931908","41.96909077","-87.72805239","P"
"JE266968","06/15/2021 06:00:00 AM","004XX E 88TH ST","THEFT","$500 AND UNDER","ALLEY","N","N","632","9","1180754","1846736","41.73469519","-87.61337944","P"
"JE267218","06/15/2021 05:00:00 PM","045XX N KOSTNER AVE","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","N","Y","1722","39","1146021","1929857","41.9635171","-87.73851807","P"
"JE266443","06/15/2021 03:00:00 AM","050XX W ADDISON ST","ARSON","BY FIRE","STREET","N","N","1634","30","1142212","1923467","41.94605407","-87.75268185","P"
"JE267430","06/15/2021 08:40:00 PM","038XX S PARNELL AVE","OTHER OFFENSE","TELEPHONE THREAT","APARTMENT","N","N","915","11","1173256","1879563","41.82494501","-87.6398789","P"
"JE266416","06/15/2021 12:15:00 AM","115XX S YALE AVE","OTHER OFFENSE","VIOLATE ORDER OF PROTECTION","RESIDENCE - PORCH / HALLWAY","N","Y","522","34","1176675","1828470","41.6846634","-87.6288705","P"
"JE266853","06/15/2021 09:43:00 AM","077XX S YATES BLVD","ASSAULT","SIMPLE","APARTMENT","N","Y","421","7","1193543","1854043","41.75444309","-87.56628824","P"
"JE266537","06/15/2021 08:10:00 AM","099XX S WESTERN AVE","MOTOR VEHICLE THEFT","AUTOMOBILE","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","2213","19","1162136","1838580","41.71272093","-87.68181398","P"
"JE266578","06/15/2021 09:10:00 AM","010XX E 79TH ST","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK","N","N","624","8","1184509","1852836","41.75134722","-87.59943231","P"
"JE267110","06/15/2021 04:20:00 AM","001XX N MICHIGAN AVE","THEFT","RETAIL THEFT","SMALL RETAIL STORE","N","N","114","42","1177271","1901522","41.88511212","-87.62448405","P"
"JE267092","06/15/2021 08:25:00 AM","029XX N LINDER AVE","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","2514","31","1139193","1919067","41.93403561","-87.76388628","P"
"JE266388","06/15/2021 12:45:00 AM","011XX N LAKE SHORE DR","HOMICIDE","FIRST DEGREE MURDER","AUTO","N","N","1824","2","1177197","1907909","41.90264004","-87.62456204","P"
"JE267498","06/15/2021 10:45:00 PM","038XX W FLOURNOY ST","HOMICIDE","FIRST DEGREE MURDER","STREET","N","N","1133","24","1150880","1896755","41.87258826","-87.72152125","P"
"JE267253","06/15/2021 01:00:00 AM","033XX N KENNETH AVE","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","N","Y","1731","30","1146127","1921794","41.94138954","-87.73833416","P"
