CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE163990,11/23/2020 03:05:00 PM,073XX S SOUTH SHORE DR,820,THEFT,$500 AND UNDER,APARTMENT,N,N,334,7,6,,,,,
JE266628,06/15/2021 09:30:00 AM,080XX S DREXEL AVE,820,THEFT,$500 AND UNDER,STREET,N,N,631,8,6,1183633,1851786,41.74848637,-87.60267506,"(41.748486365, -87.602675062)"
JE266536,06/15/2021 07:50:00 AM,042XX W MADISON ST,560,ASSAULT,SIMPLE,SIDEWALK,N,N,1115,28,08A,1148227,1899678,41.88066079,-87.73118641,"(41.880660786, -87.731186405)"
JE266663,06/15/2021 08:40:00 AM,044XX N ARTESIAN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1911,47,11,,,,,
JE266959,06/15/2021 01:30:00 PM,018XX N DAMEN AVE,460,BATTERY,SIMPLE,PARK PROPERTY,N,N,1434,32,08B,1162738,1912139,41.91456299,-87.67755343,"(41.914562993, -87.677553434)"
JE267466,06/15/2021 09:01:00 PM,007XX S KEDZIE AVE,051B,ASSAULT,AGGRAVATED - OTHER FIREARM,SIDEWALK,Y,N,1134,24,04A,1155154,1896404,41.87154041,-87.70583881,"(41.87154041, -87.705838807)"
JE266473,06/15/2021 07:47:00 AM,062XX S MORGAN ST,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,N,N,712,16,01A,1170714,1863474,41.780851,-87.64967422,"(41.780850996, -87.649674221)"
JE267222,06/15/2021 01:55:00 AM,015XX S KENNETH AVE,4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,APARTMENT,N,Y,1012,24,26,1146970,1892136,41.85998873,-87.73599476,"(41.859988733, -87.73599476)"
JE266604,06/15/2021 09:20:00 AM,013XX W ANCONA ST,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,N,N,1215,1,04B,1167362,1904648,41.89390893,-87.66078135,"(41.893908928, -87.660781353)"
JE266568,06/15/2021 01:30:00 AM,055XX N MC VICKER AVE,810,THEFT,OVER $500,STREET,N,N,1622,45,6,1134905,1936579,41.98216736,-87.77922869,"(41.982167364, -87.779228689)"
JE267023,06/15/2021 03:03:00 PM,082XX S STONY ISLAND AVE,460,BATTERY,SIMPLE,STREET,N,N,411,8,08B,1188236,1850761,41.74556517,-87.58584092,"(41.745565169, -87.585840919)"
